name,team,battingStyle,bowlingStyle,playingRole,description
Romario Shepherd,MI,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"A bowling allrounder, Romario Shepherd started for Guyana in domestic cricket with the List A format in 2016 and then first-class in 2017. But his hard-hitting batting as a finisher has instead helped him become a T20 specialist."
Nuwan Thushara,MI,Right hand Bat,Right arm Medium fast,Bowler,
Arjun Tendulkar,MI,Left hand Bat,Left arm Medium fast,Bowler,
Tim David,MI,Right hand Bat,Right arm Offbreak,Middle order Batter,
Gerald Coetzee,MI,Right hand Bat,Right arm Fast,Bowler,
Jasprit Bumrah,MI,Right hand Bat,Right arm Fast,Bowler,
Wriddhiman Saha,GT,Right hand Bat,,Wicketkeeper Batter,
Shubman Gill(c),GT,Right hand Bat,Right arm Offbreak,Opening Batter,
Sai Sudharsan,GT,Left hand Bat,Legbreak,Top order Batter,"A tall left-hand batter, Sai Sudharsan is a post-Covid era emerging star from Tamil Nadu. He was a breakout talent from the Tamil Nadu Premier League [TNPL] who was fast-tracked into Tamil Nadu's sides across formats and is also remembered for his 47-ball 96 in the IPL 2023 final against CSK."
M Shahrukh Khan,GT,Right hand Bat,Right arm Offbreak,Batter,
David Miller,GT,Left hand Bat,Right arm Offbreak,Middle order Batter,
Virat Kohli,RCB,Right hand Bat,Right arm Medium,Top order Batter,
Faf du Plessis(c),RCB,Right hand Bat,Legbreak,Middle order Batter,
Will Jacks,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder,"It was a quirk of circumstance that Will Jacks' first standout performance as an England player was a six-wicket haul in a Test match rather than a characteristically dominant white-ball innings. Jacks became the first England debutant spinner since 1993 to claim a five-for on Test debut in 2022, setting up a famous win in Rawalpindi. Not only was it his maiden first-class five-for, he was not even meant to be in the side: he was a late change to the side before the toss with Ben Foakes ruled out through illness."
Mohammed Siraj,RCB,Right hand Bat,Right arm Fast,Bowler,"Mohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand. "
Cameron Green,RCB,Right hand Bat,Right arm Fast medium,Batting Allrounder,"Cameron Green was earmarked as an international cricket from very early. Contracted to Western Australia as a schoolboy, he took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. "
Azmatullah Omarzai,GT,Right hand Bat,Right arm Medium fast,Allrounder,
Yash Dayal,RCB,Right hand Bat,Left arm Medium fast,Bowler,
Karn Sharma,RCB,Left hand Bat,Legbreak Googly,Bowler,"After Praveen Kumar and Bhuvneshwar Kumar, legspinner Karn Sharma became the third cricketer to hit the headlines from the small western Uttar Pradesh town of Meerut when he bagged a Rs 3.75 crore from Sunrisers Hyderabad in the 2014 IPL auction. It was the highest amount earned by a domestic uncapped player in the auction, and was reward for a solid season with Sunrisers in 2013, when he grabbed 11 wickets in 13 matches at an economy rate of 6.60. He formed a potent combination with India legspinner Amit Mishra as Sunrisers beat expectations to reach the semi-finals in their first season."
Rashid Khan,GT,Right hand Bat,Legbreak Googly,Bowling Allrounder,
Sai Kishore,GT,Left hand Bat,Slow Left arm Orthodox,Bowler,"A six-foot three left-arm spinner from Tamil Nadu, R Sai Kishore rose through the ranks in Tamil Nadu to get to the state team, the Tamil Nadu Premier League and the IPL before a T20I debut with a second-string India side during the Asian Games in Hangzhou in 2023. "
Noor Ahmad,GT,Right hand Bat,Left arm Wrist spin,Bowler,"Following in the footsteps of his countrymen, Rashid Khan and Mujeeb Ur Rahman, Noor Ahmad is another spinner from Afghanistan who is popular on the franchise T20 league circuit. His rare skillset - left-arm wristspin - led to opportunities across the globe even as a teenager."
Mohit Sharma,GT,Right hand Bat,Right arm Medium,Bowler,"Although Mohit Sharma burst onto the domestic scene during Haryana's best Ranji Trophy season in 2011-12, he made his own headlines a year later. In his debut season Mohit had played just three matches when Haryana made an impressive run to the semi-finals, but during the 2012-13 Ranji season he emerged as one of the best fast bowlers in the country, finishing as the fifth-highest wicket-taker. Despite that, not many had seen or known about the youngster from Faridabad, who had been on the fringes ever since he rose through age-group cricket camps organised by the Haryana Cricket Association. "
Swapnil Singh,RCB,Right hand Bat,Slow Left arm Orthodox,Bowler,"Swapnil Singh's career has been a rollercoaster. The left-arm-spin-bowling allrounder was part of India's 25 probables for the 2008 Under-19 World Cup, but ultimately did not make the squad for Malaysia. However, he made his first-class debut for Baroda at the age of 14 years and 355 days. Over the next ten years, he played just 76 domestic matches, of which 31 came during the 2014-15 and 2015-16 seasons. Swapnil claimed 6 for 19, the second-best bowling figures in the Syed Mushtaq Ali T20 tournament, and was later bought for INR 10 lakhs by the erstwhile Kings XI Punjab (now PBKS) at the 2016 IPL auction. Under Glenn Maxwell's captaincy at PBKS, he made his IPL debut, with a maiden wicket of MS Dhoni. Later, he was with Lucknow Super Giants during IPL 2023, while in IPL 2024, Swapnil played six league games with his new team Royal Challengers Bengaluru. His tidy bowling helped RCB win their last six matches to qualify for the playoffs. Domestically, Swapnil has moved from Baroda to Uttarakhand.
ESPNcricinfo staff"
Sandeep Warrier,GT,Right hand Bat,Right arm Medium,Bowler,
Ajinkya Rahane,CSK,Right hand Bat,Right arm Medium,Top order Batter,"While he might not turn heads like many of his glitzier batting colleagues, Ajinkya Rahane has been a dependable middle-order batter for India, particularly overseas, and will always be remembered for leading the side to a spectacular Test series win in Australia in 2020-21."
Ruturaj Gaikwad(c),CSK,Right hand Bat,Right arm Offbreak,Batter,
Shivam Dube,CSK,Left hand Bat,Right arm Medium,Allrounder,"A tall pace-bowling allrounder from the suburbs of Mumbai who started in the city's robust school cricket circuit, Shivam Dube shot to limelight in domestic cricket and the IPL with his almost unparallel six-hitting ability, especially against spin."
Ravindra Jadeja,CSK,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Sameer Rizvi,CSK,Right hand Bat,Right arm Offbreak,Batter,
Moeen Ali,CSK,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann."
MS Dhoni,CSK,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
Daryl Mitchell,CSK,Right hand Bat,Right arm Medium,Batting Allrounder,"Daryl Mitchell was called into New Zealand's Test team in late 2019 as a replacement for the injured Colin de Grandhomme. He impressed, making an assured 73 against England in his first innings and bowling with good control on a sluggish surface at his home ground, Hamilton. "
Prabhsimran Singh,PBKS,Right hand Bat,,Wicketkeeper Batter,
Jonny Bairstow,PBKS,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
Rilee Rossouw,PBKS,Left hand Bat,Right arm Offbreak,Top order Batter,"A stylish top-order player with an elegant and authoritative drive, Rilee Rossouw has been a high-impact batter for South Africa in limited-overs cricket.  "
Shashank Singh,PBKS,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder,"Shashank Singh, a right-hand batter and right-arm offspinner, shot into the limelight after hitting an unbeaten 29-ball 61 for PBKS against Gujarat Titans in IPL 2024."
Sam Curran(c),PBKS,Left hand Bat,Left arm Medium fast,Allrounder,"Sam Curran, younger brother of Tom Curran, his fellow Surrey all-rounder, and son of the former Zimbabwe cricketer Kevin Curran, fulfilled his destiny at the age of 19 years and 363 days, when he made his Test debut against Pakistan at Headingley in June 2018. One Test later, he scooped his maiden Man-of-the-Match award, after four first-innings wickets and a thrilling counter-attacking half-century had given England the edge in a gripping Edgbaston Test against India. His success merely heightened the debate as to whether batting or bowling will ultimately become his strongest suit. "
Kagiso Rabada,PBKS,Left hand Bat,Right arm Fast,Bowler,
Arshdeep Singh,PBKS,Left hand Bat,Left arm Medium fast,Bowler,
Harpreet Brar,PBKS,Left hand Bat,Slow Left arm Orthodox,Bowler,
Rahul Chahar,PBKS,Right hand Bat,Legbreak Googly,Bowler,"Legspinner Rahul Chahar was a key member of Mumbai Indians' two IPL title-winning sides at the end of the 2010s. He took 28 wickets in the wins in 2019 and 2020, playing nearly all the team's games. The year after, fresh off two T20Is against England, when Mumbai had a middling season, he did just as well, taking 13 wickets and finishing as their second most prolific wicket-taker."
Harshal Patel,PBKS,Right hand Bat,Right arm Medium,Bowler,
Deepak Chahar,CSK,Right hand Bat,Right arm Medium,Bowler,
Jake Fraser-McGurk,DC,Right hand Bat,Legbreak Googly,Batter,Jake Fraser-McGurk is one of the most explosive batting talents to develop in Australia since David Warner. He burst onto the scene in domestic cricket as a 17-year-old scoring half-centuries on both his first-class and List A debuts for Victoria in November 2019. He was part of Australia's Under-19 World Cup team in South Africa 2020 but had to return home mid-tournament after being scratched by a monkey at a nature reserve on a day off. 
Abishek Porel,DC,Left hand Bat,,Wicketkeeper Batter,
Shai Hope,DC,Right hand Bat,,Wicketkeeper Batter,"Shai Hope made his Test debut as a 21-year-old, having played just 14 first-class matches at the time. But few in the Caribbean doubted his talent as a batsman. Clive Lloyd gave him his West Indies cap, and coach Stuart Law insisted that he only needed one innings to get going. The world eventually got to know why the boy from Barbados was rated so highly when he became the first player, in 534 first-class matches, to score a hundred in each innings at Headingley."
Axar Patel,DC,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Rishabh Pant(c),DC,Left hand Bat,,Wicketkeeper Batter,
Tristan Stubbs,DC,Right hand Bat,Right arm Offbreak,Batter,"A batter seemingly born for the modern game, Tristan Stubbs is known for his fearless approach to batting. But there is more to him than just big-hitting. Stubbs also takes an energetic approach to longer-formats, and within four years of making his first-class debut, averaged over 50 in it. "
Kuldeep Yadav,DC,Left hand Bat,Left arm Wrist spin,Bowler,
Rasikh Salam,DC,Right hand Bat,Right arm Medium,Bowler,
Yashasvi Jaiswal,RR,Left hand Bat,Legbreak,Opening Batter,
Jos Buttler,RR,Right hand Bat,,Wicketkeeper Batter,
Sanju Samson(c),RR,Right hand Bat,,Wicketkeeper Batter,
Riyan Parag,RR,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,
Ravichandran Ashwin,RR,Right hand Bat,Right arm Offbreak,Bowling Allrounder,
Avesh Khan,RR,Right hand Bat,Right arm Fast medium,Bowler,"A tall right-arm quick with a high arm action, Avesh Khan made his name through two Under-19 World Cups and graduated to the senior level after impressing with his variations, seam movement, and slower deliveries. "
Yuzvendra Chahal,RR,Right hand Bat,Legbreak Googly,Bowler,
Trent Boult,RR,Right hand Bat,Left arm Fast medium,Bowler,"Rated as one half of the best new-ball pair in New Zealand history by Sir Richard Hadlee, Trent Boult is a left-arm quick who presents a significant threat to batsmen around the world with an ability to move the ball both ways even in unresponsive conditions."
Ishant Sharma,DC,Right hand Bat,Right arm Fast medium,Bowler,"With a physique reminiscent of a young Javagal Srinath, tall and wiry Ishant Sharma shot into prominence during the 2007-08 Test series in Australia, where he moved the ball both ways at pace and delivered a searching spell to Ricky Ponting in Perth that became the stuff of cricket lore. "
Mukesh Kumar,DC,Right hand Bat,Right arm Medium,Bowler,"With his all-format international debut in the Caribbean in 2023, Mukesh Kumar was among the bowlers next in line after the likes of Jasprit Bumrah and Mohammed Shami. He is also among the rare breed of bowlers who got his maiden India call-up before playing a single IPL game. "
Gulbadin Naib,DC,Right hand Bat,Right arm Medium fast,Batting Allrounder,"Gulbadin Naib's first love in sport was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age-group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage."
Rovman Powell,RR,Right hand Bat,Right arm Medium fast,Middle order Batter,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. "
Liam Livingstone,PBKS,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"Liam Livingstone broke into the spotlight when he made a T20I hundred off 42 balls against Pakistan in 2021 - the fastest century in the format by an England player. By then he had a reputation in English cricket as a batter equipped with plenty of raw power and the ability to dismantle good bowling attacks, a sharp outfielder, and a useful spinner who could turn the ball either way."
Dhruv Jurel,RR,Right hand Bat,,Wicketkeeper Batter,
Jitesh Sharma,PBKS,Right hand Bat,,Wicketkeeper Batter,
Shimron Hetmyer,RR,Left hand Bat,,Middle order Batter,"Left-hander Shimron Hetmyer catches the eye as much for his attacking strokeplay as for his hair, coloured various shades of the rainbow. "
Kuldeep Sen,RR,Right hand Bat,Right arm Fast,Bowler,"A first-class debut in late 2018, an IPL debut in 2022 and an India cap in December 2022. A fast bowler from Madhya Pradesh, Kuldeep Sen was fast-tracked through the domestic circuit and IPL into the India set-up for his ability to crank the pace above 140kmph and pick wickets regularly. His career, though has been hit by injuries."
Rajat Patidar,RCB,Right hand Bat,Right arm Offbreak,Top order Batter,
Dinesh Karthik,RCB,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Not many would forget the sight of Dinesh Karthik in India colours, horizontal on the ground, as he stumped Michael Vaughan in 2004. It was his first dismissal as a wicketkeeper for India, but his international career never really took off. Around the time he began churning out consistent runs in domestic cricket, India had MS Dhoni at the helm and behind the stumps, so there was very little Karthik could do. A man who was an integral part of a Test series victory over England in 2007, who showed he could open the batting in spicy conditions, just could not capitalise on his second chances. "
Mahipal Lomror,RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Born and brought up in Rajasthan, Mahipal Lomror started as a specialist batsman and later turned into an allrounder, who could bowl left-arm spin. Lomror is an aggressive batsman who fearlessly goes for the big shots, much like how his role model Adam Gilchrist used to. "
Lockie Ferguson,RCB,Right hand Bat,Right arm Fast,Bowler,"Fiercely quick right-arm fast bowler Lockie Ferguson made an impact at the 2019 ODI World Cup in England with his bruising pace and bounce, taking 21 wickets at under 20 runs apiece and an economy rate of 4.88 - the second most wickets in the tournament. "
Tushar Deshpande,CSK,Left hand Bat,Right arm Medium,Bowler,"A stocky bowler from Mumbai known for his bristling pace, unpredictable variety and wicket-taking ability, Tushar Deshpande made his India debut in T20Is at 29 after toiling in the domestic circuit for nine years."
Maheesh Theekshana,CSK,Right hand Bat,Right arm Offbreak,Bowler,
Rachin Ravindra,CSK,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"A dynamic batter, who can slot in at the top as well as in the middle order, and bowl left-arm fingerspin, Rachin Ravindra was earmarked to become a future batting leader for New Zealand right from his Under-19 days."
Mustafizur Rahman,CSK,Left hand Bat,Left arm Fast medium,Bowler,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. "
Matheesha Pathirana,CSK,Right hand Bat,Right arm Fast,Bowler,
Spencer Johnson,GT,Left hand Bat,Left arm Fast,Bowler,"Spencer Johnson's rise through the game has been remarkable. He only made his domestic T20 debut in early 2023, at the age of 27, and has now become a BBL force, has Australian caps under his belt and a million-dollar IPL deal."
Angkrish Raghuvanshi,KKR,Right hand Bat,Slow Left arm Orthodox,Top order Batter,"Angkrish Raghuvanshi, the tall, right-hand top-order batter, was India's highest run-getter at the 2022 Under-19 World Cup in the Caribbean, which India won. Raghuvanshi finished fourth on the overall scorers' list with 278 runs from six innings, though he recorded a two-ball duck against England in the final."
Sandeep Sharma,RR,Right hand Bat,Right arm Medium,Bowler,"A right-arm medium pacer in the Praveen Kumar mould, Sandeep Sharma is an accurate bowler, capable of swinging the ball and sending down economical spells. Sandeep, who began as a batsman for his school in Patiala before his coach persuaded him to take up bowling seriously, was part of India's Under-19 squad for the 2010 World Cup in New Zealand. He came into his own in the same event two years later, in Australia, where he took four wickets in the final, against the hosts, and finished as the joint-highest wicket-taker for India (12). As a result, Sandeep was signed by Kings XI Punjab ahead of the 2013 season. In three seasons for his franchise, Sandeep not only took 39 wickets, but was regularly employed by his captain George Bailey to bowl the death overs. Sandeep was soon drafted into India's T20 side for the two-match series against Zimbabwe in 2015, where he failed to deliver. In 2014, however, Sandeep suffered a stress fracture of the back that kept him out of competitive cricket for five months. He returned strongly to claim 28 scalps in the 2014-15 Ranji Trophy, the most for his side.  ESPNcricinfo Staff"
